README,,,,,,,,,,,,,,,
Category,Name,Version,Author,Host,Syntax Used with new Meaning,Affected Output Format,Language,Preinstall,Install,Platform,Binary released?,Short Description,Editor's Description,Caveats,Link
Image,pandoc-svg,N/A,@jeromerobert,Gist,N/A,"LaTeX, Beamer, docx, HTML",Python,`pip install -U pandocfilters`,N/A,all,no,Pandoc filter to create PDF files from SVG,,The gist is unmantained but see the comments in it,https://gist.github.com/jeromerobert/3996eca3acd12e4c3d40
Image,texsvg,N/A,@lierdakil,Gist,N/A,HTML based only?,Haskell,N/A,N/A,all,no,Pandoc filter to convert math to inline svg using latex and dvisvgm,,,https://gist.github.com/lierdakil/6a95278d02256a74a0fc
IO,pandoc-include,0.0.1,@steindani,GitHub,`fenced_code_blocks`,any,Haskell,N/A,`cabal install pandoc-include`,all,no,"A Pandoc filter that replaces include labeled Code Blocks with the contents of the referenced files. Even nested, recursive includes.",,,https://github.com/steindani/pandoc-include
"IO, Table",pandoc-csv2table,1.0.2,@baig,GitHub,"`fenced_code_blocks`, images",any,Haskell,N/A,`cabal install --allow-newer=base pandoc-csv2table`,all,no,A Pandoc filter that renders CSV as Pandoc Markdown Tables.,convert to pandoc's 4 markdown tables syntax,,https://github.com/baig/pandoc-csv2table
"IO, Table",pandoc-placetable,0.4,@mb21,GitHub,`fenced_code_blocks`,any,Haskell,N/A,`cabal install -f inlineMarkdown pandoc-placetable`,all,no,Pandoc filter to include CSV data (from file or URL).,convert to pandoc's AST directly,currently the build might fail,https://github.com/mb21/pandoc-placetable
LaTeX Environment,latexdivs,N/A,@ickc,GitHub,`native_divs`,HTML/LaTeX based only,Python,`pip install -U pandocfilters`,N/A,all,no,"Pandoc filter to convert divs with latex=""true"" to LaTeX environments in LaTeX output. The first class will be regarded as the name of the latex environment.",,,https://github.com/jgm/pandocfilters/blob/master/examples/latexdivs.py
LaTeX Environment,pandoc-amsthm,1.2.2,@ickc,GitHub,"`yaml_metadata_block`, `native_divs`",HTML/LaTeX based only,Python,`pip install -U pandocfilters`,N/A,all,no,"provide a syntax to use amsthm environments in pandoc, with output in LaTeX and HTML",,Requires a provided custom templates,https://github.com/jgm/pandocfilters/blob/master/examples/latexdivs.py
LaTeX Environment,pandoc-latex-environment,0.0.4,@chdemko,GitHub,"`yaml_metadata_block`, `native_divs`",LaTeX based only,Python,`pip install -U pandocfilters`,`pip install -U pandoc-latex-environment`,all,no,Pandoc filter for adding LaTeX environement on specific div,,,https://github.com/jgm/pandocfilters/blob/master/examples/latexdivs.py
Raw,pandoc-code2raw,N/A,@bpj,Gist,`fenced_code_blocks`,any?,Python,`pip install -U pandocfilters`,N/A,all,no,Pandoc filter to insert arbitrary raw output markup as Code/CodeBlocks with an attribute raw=<outputformat>.,,,https://gist.github.com/bpj/e6e53cbe679d3ec77e25
Text String,pandoc-filter-arrows,0.1.0,@nichtich,GitHub,"text string: ""->"", ""-->"", ""=>"", ...",any,Perl,`cpanm Pandoc::Elements`,N/A,all,no,Replace ASCII arrows by LaTeX arrows,,,https://github.com/nichtich/pandoc-filter-arrows
Filter,multifilter,0.25,@nichtich,GitHub,`yaml_metadata_block`,any,Perl,`cpanm Pandoc::Elements`,N/A,all,no,"apply all filters listed in metadata field ""multifilter""",,,https://github.com/nichtich/Pandoc-Elements/blob/c91a6c3a314c36541b3df5dbcba59bef2bf5e9b4/script/multifilter
Text String,qids,0.25,@nichtich,GitHub,"text string: ""[Q12345]"", ...",any,Perl,`cpanm Pandoc::Elements`,N/A,all,no,link all Wikidata ids such as [Q123],,,https://github.com/nichtich/Pandoc-Elements/blob/f8d19b4234521b992ed6d78881f739970778733f/examples/qids.pl
